id,trainNumber,ocpRef,name,trackRef,track,ref,name.1,dir,arrival,departure,minimalTime,ocpType,ref.1,code,stopPostRef,Unnamed: 16,Unnamed: 17,Train 1 Number,Train 2 Number,Train 1 Station,Train 2 Station,Conflict Track,Train 1 Time,Train 2 Time,Train 1 Row,Train 2 Row,Conflict Direction,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
tp_0_61_2025_3,VIA61,nON_UniSt0,Union Station E0,st_ON_UniSt0_4,E3,stON_BalSub_0_ON_UniSt0_0,E3,down,,11:48:30,,pass,ou_2_1,D7,,,,4105,4104,King-Liberty Station,King-Liberty Station,T3,05:33:54,05:34:42,2685.0,2691.0,Head On,1907-05-07 00:00:00,2690.0,,
tp_0_61_2025_3,VIA61,nON_UniSt,Union Station,st_ON_UniSt_2,2,,,,11:50:18,,PT10M,stop,ou_2_1,D7,,,,4107,4106,King-Liberty Station,King-Liberty Station,T3,05:48:54,05:49:42,2860.0,2875.0,Head On,1907-10-29 00:00:00,2874.0,,
tp_0_1_1_2025_6,VIA1,nON_UniSt,Union Station,st_ON_UniSt_8,8,stON_WesSub_0_ON_BthItl_0,C1,up,,09:39:06,PT1H,stop,ou_2_2,Canadian,,,,4109,4108,King-Liberty Station,King-Liberty Station,T3,06:03:54,06:04:42,3046.0,3060.0,Head On,1908-05-02 00:00:00,3059.0,,
tp_0_1_1_2025_6,VIA1,nON_BthItl,Bathurst St. Interlocking,,,stON_WesSub_0_ON_LivSt_0,WN T1,up,,11:31:36,,pass,ou_2_2,Canadian,,,,4111,4110,King-Liberty Station,King-Liberty Station,T3,06:18:54,06:19:42,3264.0,3278.0,Head On,1908-12-06 00:00:00,3277.0,,
tp_0_1_1_2025_6,VIA1,nON_LivSt,King-Liberty Station,st_ON_LivSt_2,T2,stON_WesSub_0_ON_PkdJct_1,T2,up,,09:45:24,,pass,ou_2_2,Canadian,,,,4113,4112,King-Liberty Station,King-Liberty Station,T3,06:33:54,06:34:42,3492.0,3508.0,Head On,1909-07-22 00:00:00,3507.0,,
tp_0_1_1_2025_6,VIA1,nON_PkdJct,Parkdale Junction,,,stON_WesSub_0_ON_LanAve_1,T2,up,,09:46:18,,pass,ou_2_2,Canadian,,,,4115,4114,King-Liberty Station,King-Liberty Station,T3,06:48:54,06:49:42,3753.0,3773.0,Head On,1910-04-09 00:00:00,3772.0,,
tp_0_1_1_2025_6,VIA1,nON_LanAve,Lansdowne Avenue,,,stON_NmkSub_0_ON_BllSt_0,T1,up,,09:46:24,,pass,ou_2_2,Canadian,,,,E8116,1701,Oakville Station,Oakville Station,T1,06:48:54,06:49:00,3754.0,3757.0,Same Direction,1910-04-10 00:00:00,3756.0,,
tp_0_1_1_2025_6,VIA1,nON_BllSt,Bloor-Lansdowne Station,st_ON_BllSt_1,T1,stON_NmkSub_0_ON_InnCo_0,T1,up,,09:47:30,,pass,ou_2_2,Canadian,,,,9901,VIA50/60,Guildwood Station,Guildwood Station,T2,07:02:24,07:02:30,4017.0,4023.0,Head On,1910-12-29 00:00:00,4022.0,,
tp_0_1_1_2025_6,VIA1,nON_InnCo,Innis,,,stON_NmkSub_0_ON_CalSt_0,T1,up,,09:50:06,,pass,ou_2_2,Canadian,,,,4117,4116,King-Liberty Station,King-Liberty Station,T3,07:03:54,07:04:42,4053.0,4074.0,Head On,1911-02-03 00:00:00,4073.0,,
tp_0_1_1_2025_6,VIA1,nON_CalSt,Caledonia Station,st_ON_CalSt_1,T1,stON_NmkSub_0_ON_DvpSt_0,T1,up,,09:52:36,,pass,ou_2_2,Canadian,,,,4119,4118,King-Liberty Station,King-Liberty Station,T3,07:18:54,07:19:42,4350.0,4372.0,Head On,1911-11-27 00:00:00,4371.0,,
tp_0_1_1_2025_6,VIA1,nON_DvpSt,Downsview Park Station,st_ON_DvpSt_2,T1,stON_NmkSub_0_ON_ChsJct_0,T1,up,,09:58:06,,pass,ou_2_2,Canadian,,,,4121,4120,King-Liberty Station,King-Liberty Station,T3,07:33:54,07:34:42,4623.0,4641.0,Head On,1912-08-26 00:00:00,4640.0,,
